Cueanexo,id_localidad,Total de hogares,Hogares con población de 3 a 17,Poblacion de 3 a 17
20024000,2110001,"0,105655","0,071004","0,079595"
20024800,2102001,"0,098531","0,057813","0,048107"
20024900,2101001,"0,117799","0,107658","0,118415"
20024902,2101001,"0,115549","0,12273","0,126975"
20025000,2101001,"0,115549","0,12273","0,126975"
20025100,2101001,"0,117799","0,107658","0,118415"
20025300,2107001,"0,119149","0,096526","0,106675"
20025400,2108001,"0,195353","0,200572","0,220516"
20025500,2108001,"0,195353","0,200572","0,220516"
20025600,2105001,"0,095321","0,061372","0,063398"
20026400,2113001,"0,082894","0,047721","0,04706"
20026800,2108001,"0,12548","0,09771","0,102268"
20027300,2103001,"0,108686","0,091146","0,09255"
20027400,2108001,"0,145811","0,121945","0,130527"
20027500,2108001,"0,143597","0,112561","0,121513"
20027600,2108001,"0,127005","0,096724","0,103534"
20027800,2108001,"0,122571","0,099681","0,116445"
20027804,2108001,"0,12548","0,09771","0,102268"
20027900,2108001,"0,145811","0,121945","0,130527"
20028100,2113001,"0,082843","0,052185","0,053387"
20028300,2106001,"0,094434","0,03879","0,040506"
20028500,2108001,"0,127005","0,096724","0,103534"
20028600,2108001,"0,149063","0,13621","0,152992"
20028700,2103001,"0,11386","0,10039","0,109551"
20028900,2103001,"0,119109","0,104333","0,116013"
20029000,2103001,"0,110153","0,096426","0,107735"
20029001,2103001,"0,119516","0,103899","0,118241"
20029002,2103001,"0,119109","0,104333","0,116013"
20029300,2102001,"0,104875","0,058451","0,054659"
20029400,2103001,"0,106707","0,100133","0,105622"
20029401,2103001,"0,106707","0,100133","0,105622"
20029500,2102001,"0,100625","0,061817","0,060913"
20029600,2104001,"0,136157","0,136512","0,14931"
20029700,2104001,"0,122488","0,107258","0,117159"
20029800,2104001,"0,123432","0,106045","0,114955"
20029900,2112001,"0,096954","0,054127","0,054199"
20030200,2107001,"0,090278","0,055169","0,056606"
20030300,2107001,"0,12119","0,095411","0,103102"
20030400,2110001,"0,105516","0,068362","0,072573"
20030500,2105001,"0,092013","0,055196","0,05493"
20030700,2105001,"0,087268","0,065738","0,069801"
20030900,2101001,"0,108879","0,128409","0,14535"
20030902,2101001,"0,108879","0,128409","0,14535"
20031100,2101001,"0,108879","0,128409","0,14535"
20031700,2113001,"0,075381","0,047273","0,047449"
20031900,2113001,"0,078097","0,040235","0,039422"
20032400,2112001,"0,084437","0,052127","0,049266"
20032500,2112001,"0,085517","0,042202","0,041236"
20032800,2109001,"0,137906","0,107481","0,114051"
20032900,2105001,"0,104016","0,067941","0,071811"
20033000,2109001,"0,137906","0,107481","0,114051"
20033100,2109001,"0,137906","0,107481","0,114051"
20033101,2109001,"0,137906","0,107481","0,114051"
20033300,2101001,"0,077724","0,044008","0,044496"
20033400,2104001,"0,122488","0,107258","0,117159"
20033500,2114001,"0,090955","0,054206","0,051129"
20033600,2114001,"0,090955","0,054206","0,051129"
20033601,2114001,"0,084119","0,060208","0,060744"
20034100,2112001,"0,08876","0,052982","0,057673"
20034200,2110001,"0,095002","0,055062","0,055319"
20034400,2107001,"0,103614","0,069789","0,077109"
20034401,2107001,"0,099802","0,058438","0,062946"
20034402,2107001,"0,104573","0,078897","0,082556"
20034900,2112001,"0,096954","0,054127","0,054199"
20035000,2112001,"0,096954","0,054127","0,054199"
20035100,2111001,"0,080901","0,039647","0,036959"
20035200,2115001,"0,080231","0,051041","0,052187"
20035300,2115001,"0,080231","0,051041","0,052187"
20035400,2102001,"0,096538","0,053855","0,047971"
20035500,2102001,"0,096538","0,053855","0,047971"
20035600,2102001,"0,098072","0,066508","0,060353"
20035800,2113001,"0,088734","0,040228","0,036787"
20036100,2102001,"0,100625","0,061817","0,060913"
20036200,2108001,"0,133371","0,117967","0,134846"
20036300,2112001,"0,096954","0,054127","0,054199"
20036400,2115001,"0,087377","0,04798","0,050113"
20036600,2106001,"0,098344","0,073925","0,07481"
20036601,2108001,"0,25034","0,26223","0,281581"
20036800,2106001,"0,09767","0,063712","0,066781"
20037000,2115001,"0,081103","0,056974","0,065211"
20037200,2115001,"0,101672","0,061849","0,065703"
20037900,2106001,"0,085696","0,042463","0,04727"
20038000,2107001,"0,119149","0,096526","0,106675"
20038100,2108001,"0,149063","0,13621","0,152992"
20038200,2107001,"0,119149","0,096526","0,106675"
20038300,2112001,"0,077847","0,045223","0,046471"
20038600,2105001,"0,101899","0,073629","0,081537"
20038700,2112001,"0,077955","0,040007","0,040254"
20039800,2107001,"0,121992","0,110413","0,119797"
20039801,2107001,"0,121992","0,110413","0,119797"
20039900,2111001,"0,094465","0,05728","0,055302"
20040000,2107001,"0,114251","0,078508","0,083498"
20040100,2113001,"0,08175","0,02828","0,026861"
20040200,2105001,"0,086954","0,065608","0,070477"
20040300,2107001,"0,09676","0,06536","0,071437"
20040400,2105001,"0,086954","0,065608","0,070477"
20040700,2103001,"0,125711","0,119068","0,125219"
