id,Localidad
86035077,LOS SORIA
86105016,BURRA HUANUNA
86105038,TACANAS
86035118,TRAMO 16
86035022,COLONIA ARGENTINA
86042025,POZO DULCE
86084059,MORON
86084068,PUERTA CHIQUITA
86119072,SAN MARTIN
86077004,BUEN PASO
86049069,EL DEAN
86098015,SUNCHO CORRAL
86182066,VILLA MATARA
86147004,COLONIA TINCO
86168023,LA BAJADA
86126033,KILOMETRO 49
86077058,POZO DEL MEDIO
86161012,EL QUEBRACHAL
86175034,GARCIANO
86175032,ESTACION ROBLES
86147042,CHAÑAR POZO DE ARRIBA
86035003,ACOSTA
86042001,ASPIRANTE
86049073,LOS MORALES
86119057,LEDESMA
86049008,CONTRERAS
86091083,RINCON GRANDE
90098209,SALAS
90007102,EL PUESTITO DE ARRIBA
90021083,PIEDRAS GRANDES
90021041,FINCA LEON CORNET
90028031,FAMAILLA
90056169,INGENIO LEALES
90014005,ARBOL SOLO
90091007,ATAHONA
90042009,DONATO ALVAREZ
90091067,LOS AGUDOS
90091030,EL PACARA
90035069,LA CAÑADA
90077050,RIO CHICO
90091093,PUESTO LOS VALDEZ
90112118,LAS TACANAS/TACANAS
90028046,LA MONTAÑITA
90077007,COLONIAS 1 A 18- SANTA ANA
90070100,YONOPONGO
90063091,SAN RAFAEL
90063034,EX INGENIO LULES
90007006,ALTA GRACIA
90056091,LOMA VERDE
90035066,GRANEROS
90119004,CENTRO UNIVERSITARIO HORCO MOLLE
90028062,SAN GABRIEL DEL MONTE
90098214,TAFI DEL VALLE
94007152,RIO GRANDE
6760001,BELLA VISTA
6412001,JOSE C PAZ
6434021,VILLA DEL VALLE
6466009,MONASTERIO
6466007,LA JOSEFINA
6329015,HORNOS
6539036,VILLA AMELIA
6812007,LAS VIBORAS
6609031,CHICLANA
6714003,CAMPO BLANCO
6182001,ARROYO PAREJA
6638018,ZELAYA
6315014,MACEDO
6805011,LA PALOMA
6778009,VILLA SOLFERINO
6322016,PONTAUT
6875001,ARGERICH
6218004,COMANDANTE GIRIBONE
6063001,BALCARCE
6462008,EL DORADO
6161001,CARMEN DE ARECO
6655006,PUNTA INDIO
6134013,LOS ALAMOS
6084002,BENITO JUAREZ
6826015,LA CARRETA
6077001,ARRECIFES
6840005,CIUDADELA
6224002,CHIVILCOY
6091006,GUILLERMO E HUDSON
6161007,PUEBLO GOUIN
6112016,OLASCOAGA
6028007,JOSE MARMOL
6714023,SALTO
6490004,LLAVALLOL
6532011,MERCEDES
6224010,MOQUEHUA
6763005,LA EMILIA
6574007,INGENIERO WILLIAMS
6763013,EREZCANO
6511010,SANTO DOMINGO
6616001,BOCAYUVA
6140003,CAPITAN SARMIENTO
6574012,LA RAPIDA
6147020,SMITH
6861005,FLORIDA OESTE
6532010,MANUEL J. GARCIA
6511011,SEGUROLA
6134007,SANTA ROSA
6056016,GENERAL DANIEL CERRI
6539008,SAN ANTONIO DE PADUA
6441045,GONNET
6651003,AZOPARDO
6728017,VILLA ESPIL
6322014,LIBANO
6441006,BARRIO LAS QUINTAS
6210026,CASTILLA
6091002,CARLOS TOMAS SOURIGUES
6847004,TRES LOMAS
6805012,LOS TRONCOS DEL TALAR
6315020,SANTA YOLA
6819019,SALDUNGARAY
6277005,FLORENTINO AMEGHINO
6399010,GARRE
6274011,VILLA MONICA
6588023,MARCELINO UGARTE
6714011,INES INDART
6721005,SALLIQUELO
6833018,MICAELA CASCALLARES
6791009,CERRO LEONES
6505007,JULIO ARDITI
6581010,JUAN N FERNANDEZ
6147012,LA DORITA
6210024,SAUCE VERDE
6105039,BOLIVAR
6270015,EL PORVENIR
6854031,SANTA ROSA DE HAEDO
6277010,LOS ANDES
6287009,JOSE M. MICHEO
6049037,SHAW
6336011,PAVON
6301009,LA CHUMBIADA
6399031,COCHICO
6126018,LOS CARDALES
6042044,SAN JOSE
6049044,CAMPOMAR
6042005,EL BOQUERON
6218035,CHASCOMUS - LOS JAGUELES
6778016,EL PORTE+æO
6371040,LOMA HERMOSA
6679013,RIVADAVIA
10007027,LAS PIEDRAS BLANCAS
10084030,SIJAN
10070107,RIO CHICO
10070069,LA SUERTE
10105074,TINOGASTA
10028022,SALAR DEL HOMBRE MUERTO
10105081,VILLA SAN ROQUE
10105052,LOS NACIMIENTOS
10056071,VILISMAN
10056050,LOS PEDRAZA
10070118,SAN MIGUEL
10014024,EL QUEBRACHAL
10091048,YAPES
10112017,SUMALAO
10070018,EL AYBAL
10042048,LOS CHAÑARITOS
10042017,EL QUEMADO
10098033,LAS TUNAS
10070058,LA DORADA
14105063,PASO DEL SAUCE
14105074,SAGRADA FAMILIA
14007022,LOS CONDORES
14007012,EL CORCOVADO - EL TORREON
14119098,COLONIA SAN JOSE DE AGUAS COLORADAS
14140133,COLONIA CEFERINA
14140096,PLAZA LUXARDO
14028007,BELLA VISTA
14028016,CAÑADA HONDA
14077026,LOS MOLLES
14077042,BUENA VISTA
14028071,LOS SAUCES
14077020,LA PATRIA
14077047,LAS PALMAS
14105067,POZO DEL MORO
14098018,CHAJAN
14042999,NO FIGURA EN TABLA
14049010,CHUÑA
14168057,SAN LORENZO
14091050,MAYU SUMAJ
14049016,EL ESTANQUE
14154023,SAN FRANCISCO DEL CHAÑAR
14084018,RIO BAMBA
14084013,LABOULAYE
14133033,LA RAMADA
14140110,SATURNINO MARIA LASPIUR
14147081,VILLA CIUDAD DE AMERICA
14147104,PASO DE LA PAMPA
14056033,COLONIA SAN JOSE
14140095,PLAZA BRUNO
14119001,CALCHIN
14119019,ONCATIVO
14035020,VILLA HUIDOBRO
14175015,EL RODEO
14021015,COLONIA CAROYA
14084032,COLONIA SAN MIGUEL
14063027,SAIRA
14028109,EL BARRIALITO
14182056,COLONIA CORRAL DE GUARDIA
14098090,TOSQUITAS
14098083,RODEO VIEJO
14007074,LAS LAGUNITAS
